cell_type	group	count	total	ratio
B cells	HPV_neg	2097	39628	0.0529171293025134
B cells	HPV_pos	3913	20992	0.186404344512195
CD4+ effector T cells	HPV_neg	2237	39628	0.0564499848591905
CD4+ effector T cells	HPV_pos	1372	20992	0.0653582317073171
CD8+ effector T cells	HPV_neg	14917	39628	0.376425759563945
CD8+ effector T cells	HPV_pos	7162	20992	0.341177591463415
Macrophages	HPV_neg	6820	39628	0.17210053497527
Macrophages	HPV_pos	1333	20992	0.063500381097561
Mast cells	HPV_neg	248	39628	0.006258201271828
Mast cells	HPV_pos	57	20992	0.00271532012195122
Myeloid Dendritic Cell 1	HPV_neg	404	39628	0.0101948117492682
Myeloid Dendritic Cell 1	HPV_pos	124	20992	0.00590701219512195
Naive T Cells	HPV_neg	7040	39628	0.177652165135763
Naive T Cells	HPV_pos	4252	20992	0.202553353658537
Plasma cells	HPV_neg	721	39628	0.018194206116887
Plasma cells	HPV_pos	385	20992	0.0183403201219512
Plasmacytoid Dendritic cells	HPV_neg	592	39628	0.0149389320682346
Plasmacytoid Dendritic cells	HPV_pos	231	20992	0.0110041920731707
Tregs	HPV_neg	4552	39628	0.114868274957101
Tregs	HPV_pos	2163	20992	0.10303925304878
