seurat_clusters	group	count	total	ratio
0	HPV_neg	7040	39628	0.177652165135763
0	HPV_pos	4252	20992	0.202553353658537
1	HPV_neg	5488	39628	0.138487937821742
1	HPV_pos	2788	20992	0.1328125
2	HPV_neg	3646	39628	0.0920056525688907
2	HPV_pos	2145	20992	0.102181783536585
3	HPV_neg	2040	39628	0.0514787523972948
3	HPV_pos	3328	20992	0.158536585365854
4	HPV_neg	2731	39628	0.0689159180377511
4	HPV_pos	1242	20992	0.0591653963414634
5	HPV_neg	3260	39628	0.082265065105481
5	HPV_pos	541	20992	0.0257717225609756
6	HPV_neg	2237	39628	0.0564499848591905
6	HPV_pos	1372	20992	0.0653582317073171
7	HPV_neg	2185	39628	0.0551377813667104
7	HPV_pos	1296	20992	0.0617378048780488
8	HPV_neg	2524	39628	0.0636923387503785
8	HPV_pos	610	20992	0.0290586890243902
9	HPV_neg	1821	39628	0.04595235691935
9	HPV_pos	921	20992	0.0438738567073171
10	HPV_neg	1661	39628	0.041914807711719
10	HPV_pos	317	20992	0.0151009908536585
11	HPV_neg	1582	39628	0.0399212677904512
11	HPV_pos	387	20992	0.0184355945121951
12	HPV_neg	721	39628	0.018194206116887
12	HPV_pos	385	20992	0.0183403201219512
13	HPV_neg	583	39628	0.0147118199253053
13	HPV_pos	247	20992	0.011766387195122
14	HPV_neg	592	39628	0.0149389320682346
14	HPV_pos	231	20992	0.0110041920731707
15	HPV_neg	57	39628	0.00143837690521853
15	HPV_pos	585	20992	0.0278677591463415
16	HPV_neg	491	39628	0.0123902291309175
16	HPV_pos	76	20992	0.00362042682926829
17	HPV_neg	404	39628	0.0101948117492682
17	HPV_pos	124	20992	0.00590701219512195
18	HPV_neg	317	39628	0.00799939436761886
18	HPV_pos	88	20992	0.00419207317073171
19	HPV_neg	248	39628	0.006258201271828
19	HPV_pos	57	20992	0.00271532012195122
