ID	Term	Ontology	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	Fold_Enrichment	GeneRatio	Genes
GO:0051707	response_to_other_organism	Biological Process	16	1306	38	17313	4.54510818379334e-09	2.19779961028033e-06	8.34245577513391	5.58168775691142	0.421052631578947	CCL4//CD79B//CXCL8//HLA-DQA2//HSPB1//IFI6//IFITM1//IGHA1//IGHD//IGHG4//ISG15//NFKBIA//RGS1//S100A8//S100A9//VIM
GO:0043207	response_to_external_biotic_stimulus	Biological Process	16	1308	38	17313	4.64651080397533e-09	2.19779961028033e-06	8.33287304869987	5.57315306615162	0.421052631578947	CCL4//CD79B//CXCL8//HLA-DQA2//HSPB1//IFI6//IFITM1//IGHA1//IGHD//IGHG4//ISG15//NFKBIA//RGS1//S100A8//S100A9//VIM
GO:0019221	cytokine-mediated_signaling_pathway	Biological Process	11	665	38	17313	1.15407782256735e-07	3.03201732294069e-05	6.93776490454944	7.53632766125841	0.289473684210526	CCL4//CXCL8//FCER2//HLA-DQA2//HSP90AA1//IFI6//IFITM1//IGHG4//ISG15//NFKBIA//VIM
GO:0050778	positive_regulation_of_immune_response	Biological Process	12	844	38	17313	1.39504807969807e-07	3.03201732294069e-05	6.8554108243705	6.47779995011225	0.315789473684211	CD79A//CD79B//FCER2//HLA-DQA2//HSP90AA1//HSPA1A//IGHA1//IGHD//IGHG4//NFKBIA//S100A8//S100A9
GO:0009617	response_to_bacterium	Biological Process	11	687	38	17313	1.60254615377415e-07	3.03201732294069e-05	6.79518945382737	7.29498965754999	0.289473684210526	CD79B//CXCL8//IGHA1//IGHD//IGHG4//ISG15//NFKBIA//RGS1//S100A8//S100A9//VIM
GO:0002757	immune_response-activating_signal_transduction	Biological Process	10	555	38	17313	2.22452133874749e-07	3.50732864409187e-05	6.65276342392096	8.20910384068279	0.263157894736842	CD79A//CD79B//HLA-DQA2//HSP90AA1//IGHA1//IGHD//IGHG4//NFKBIA//S100A8//S100A9
GO:0002764	immune_response-regulating_signaling_pathway	Biological Process	10	590	38	17313	3.90888103565699e-07	5.20737990859499e-05	6.40794754684683	7.7221231043711	0.263157894736842	CD79A//CD79B//HLA-DQA2//HSP90AA1//IGHA1//IGHD//IGHG4//NFKBIA//S100A8//S100A9
GO:0045087	innate_immune_response	Biological Process	11	760	38	17313	4.40370393961521e-07	5.20737990859499e-05	6.35618188627464	6.59428670360111	0.289473684210526	CCL4//HLA-DQA2//IFI6//IFITM1//IGHA1//IGHD//IGHG4//ISG15//S100A8//S100A9//VIM
GO:0002253	activation_of_immune_response	Biological Process	10	623	38	17313	6.43544029713195e-07	6.76436280120758e-05	6.19142173437369	7.31308608600152	0.263157894736842	CD79A//CD79B//HLA-DQA2//HSP90AA1//IGHA1//IGHD//IGHG4//NFKBIA//S100A8//S100A9
GO:0071345	cellular_response_to_cytokine_stimulus	Biological Process	12	996	38	17313	8.26693455232664e-07	7.820520086501e-05	6.08265550058148	5.48922003804692	0.315789473684211	CCL4//CXCL8//FCER2//HLA-DQA2//HSP90AA1//IFI6//IFITM1//IGHG4//ISG15//NFKBIA//TCL1A//VIM
