ID	Term	WebSite	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	GeneRatio	Genes
hsa04662	B_cell_receptor_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04662+971+973+974+8519+4792	5	81	23	8088	2.5981388767814e-06	0.000244225054417452	5.58533763855635	0.217391304347826	CD72//CD79A//CD79B//IFITM1//NFKBIA
hsa04657	IL-17_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04657+3576+3320+4792+6279+6280	5	94	23	8088	5.43282771564145e-06	0.000255342902635148	5.2649740669767	0.217391304347826	CXCL8//HSP90AA1//NFKBIA//S100A8//S100A9
hsa05169	Epstein-Barr_virus_infection	http://www.genome.jp/kegg-bin/show_pathway?hsa05169+2208+3118+9636+4792+7431	5	202	23	8088	0.000215618168343034	0.00675603594141506	3.66631464757303	0.217391304347826	FCER2//HLA-DQA2//ISG15//NFKBIA//VIM
hsa05171	Coronavirus_disease-COVID-19	http://www.genome.jp/kegg-bin/show_pathway?hsa05171+3576+9636+4792+6231+6192	5	232	23	8088	0.000409950806436375	0.00963384395125482	3.38726825492668	0.217391304347826	CXCL8//ISG15//NFKBIA//RPS26//RPS4Y1
hsa05134	Legionellosis	http://www.genome.jp/kegg-bin/show_pathway?hsa05134+3576+3303+4792	3	57	23	8088	0.000531816902222618	0.00999815776178522	3.27423786402332	0.130434782608696	CXCL8//HSPA1A//NFKBIA
hsa04622	RIG-I-like_receptor_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04622+3576+9636+4792	3	70	23	8088	0.000971238159312162	0.0138904051979157	3.01267426278741	0.130434782608696	CXCL8//ISG15//NFKBIA
hsa05164	Influenza_A	http://www.genome.jp/kegg-bin/show_pathway?hsa05164+3576+3337+3118+4792	4	172	23	8088	0.00127480327044549	0.0138904051979157	2.89455683103561	0.173913043478261	CXCL8//DNAJB1//HLA-DQA2//NFKBIA
hsa05140	Leishmaniasis	http://www.genome.jp/kegg-bin/show_pathway?hsa05140+3118+65108+4792	3	77	23	8088	0.00128115307136821	0.0138904051979157	2.89239897792197	0.130434782608696	HLA-DQA2//MARCKSL1//NFKBIA
hsa04612	Antigen_processing_and_presentation	http://www.genome.jp/kegg-bin/show_pathway?hsa04612+3118+3320+3303	3	78	23	8088	0.0013299324125664	0.0138904051979157	2.87617042940532	0.130434782608696	HLA-DQA2//HSP90AA1//HSPA1A
hsa04621	NOD-like_receptor_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04621+3576+3320+4792+10628	4	181	23	8088	0.00153966314302342	0.0144728335444202	2.81257428638992	0.173913043478261	CXCL8//HSP90AA1//NFKBIA//TXNIP
hsa05417	Lipid_and_atherosclerosis	http://www.genome.jp/kegg-bin/show_pathway?hsa05417+3576+3320+3303+4792	4	215	23	8088	0.00288985196102648	0.0219366662793931	2.53912440435627	0.173913043478261	CXCL8//HSP90AA1//HSPA1A//NFKBIA
hsa04064	NF-kappa_B_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04064+6351+3576+4792	3	104	23	8088	0.00303379427268202	0.0219366662793931	2.51801387287964	0.130434782608696	CCL4//CXCL8//NFKBIA
hsa04620	Toll-like_receptor_signaling_pathway	http://www.genome.jp/kegg-bin/show_pathway?hsa04620+6351+3576+4792	3	104	23	8088	0.00303379427268202	0.0219366662793931	2.51801387287964	0.130434782608696	CCL4//CXCL8//NFKBIA
hsa04659	Th17_cell_differentiation	http://www.genome.jp/kegg-bin/show_pathway?hsa04659+3118+3320+4792	3	107	23	8088	0.00328838169006468	0.02207913420472	2.48301777864169	0.130434782608696	HLA-DQA2//HSP90AA1//NFKBIA
hsa05145	Toxoplasmosis	http://www.genome.jp/kegg-bin/show_pathway?hsa05145+3118+3303+4792	3	112	23	8088	0.00374125528275967	0.0234451997719606	2.42698265691507	0.130434782608696	HLA-DQA2//HSPA1A//NFKBIA
hsa05219	Bladder_cancer	http://www.genome.jp/kegg-bin/show_pathway?hsa05219+3576+1890	2	41	23	8088	0.0059300089419577	0.0348388025340015	2.22694465175547	0.0869565217391304	CXCL8//TYMP
