p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.62902199723302	0.876	0.784	0	0	AC090498.1
0	0.514585691106753	0.529	0.416	0	0	AES
0	0.594089643941478	0.281	0.134	0	0	AQP3
0	0.442722045289322	0.975	0.939	0	0	BTG1
0	0.607830231459121	0.594	0.459	0	0	C6orf48
0	0.954360224617618	0.412	0.133	0	0	CCR7
0	0.303919130892291	0.769	0.555	0	0	CD3E
0	0.566174575212253	0.744	0.612	0	0	CD69
0	0.818428238220032	1	0.997	0	0	EEF1A1
0	0.792363183857669	0.874	0.77	0	0	EEF1B2
0	0.451648705419828	0.96	0.943	0	0	EEF1D
0	0.473230232537853	0.898	0.854	0	0	EEF2
0	0.651679682058664	0.804	0.705	0	0	EIF3E
0	0.428641999908381	0.467	0.385	0	0	EIF4B
0	0.316232210104745	0.992	0.988	0	0	FAU
0	0.618090174466392	0.28	0.111	0	0	FLT3LG
0	0.7121755537148	0.863	0.731	0	0	FXYD5
0	0.545613594980683	0.505	0.334	0	0	GIMAP4
0	0.832777372909564	0.589	0.322	0	0	GIMAP7
0	0.861493415191454	0.884	0.753	0	0	GLTSCR2
0	0.391576051218263	0.97	0.96	0	0	GNB2L1
0	1.53280246519992	0.687	0.251	0	0	IL7R
0	0.955200605455911	0.919	0.839	0	0	JUNB
0	0.906127416472571	0.432	0.207	0	0	KLF2
0	0.801517513205265	0.786	0.629	0	0	LDHB
0	0.778563574208185	0.259	0.055	0	0	LEF1
0	0.587408871086695	0.61	0.468	0	0	LEPROTL1
0	0.892777985202241	0.858	0.536	0	0	LTB
0	0.738096067856879	0.275	0.066	0	0	MAL
0	0.390554780787289	1	0.999	0	0	MALAT1
0	0.414525703980576	0.937	0.916	0	0	NACA
0	0.497787360723533	0.749	0.696	0	0	NBEAL1
0	0.687678564375946	0.394	0.28	0	0	NOSIP
0	0.794322980751451	0.923	0.861	0	0	PABPC1
0	0.359120850154056	0.941	0.915	0	0	PFDN5
0	0.729117838657287	0.534	0.309	0	0	PIK3IP1
0	0.713462530544187	0.999	0.998	0	0	RPL10
0	0.660631797085412	0.986	0.967	0	0	RPL10A
0	0.803607773048776	0.998	0.994	0	0	RPL11
0	0.555839898704853	0.994	0.986	0	0	RPL12
0	0.898159191635398	1	0.997	0	0	RPL13
0	0.738548168943878	0.999	0.998	0	0	RPL13A
0	0.680488817368436	0.988	0.973	0	0	RPL14
0	0.297964538586426	0.994	0.99	0	0	RPL15
0	0.663326436521621	0.888	0.809	0	0	RPL17
0	0.622899025841711	0.991	0.979	0	0	RPL18
0	0.673808385317201	0.997	0.992	0	0	RPL18A
0	0.690129185120997	0.996	0.992	0	0	RPL19
0	0.885456767540071	0.998	0.995	0	0	RPL21
0	0.731977849921759	0.969	0.927	0	0	RPL22
0	0.341174048682454	0.951	0.938	0	0	RPL23
0	0.692669405074412	0.998	0.989	0	0	RPL23A
0	0.483612220787807	0.975	0.956	0	0	RPL24
0	0.551517153587421	0.996	0.99	0	0	RPL26
0	0.593752127566916	0.984	0.966	0	0	RPL27
0	0.598162928150503	0.997	0.992	0	0	RPL27A
0	0.34362417112923	0.998	0.996	0	0	RPL28
0	0.590238990206249	0.987	0.974	0	0	RPL29
0	0.920454693888498	0.996	0.988	0	0	RPL3
0	0.885099750715245	0.995	0.983	0	0	RPL30
0	0.828830311453009	0.996	0.985	0	0	RPL31
0	0.909511045706355	0.998	0.995	0	0	RPL32
0	1.02028646381783	0.999	0.996	0	0	RPL34
0	0.563400330167048	0.994	0.985	0	0	RPL35
0	0.736954278524835	0.994	0.989	0	0	RPL35A
0	0.802228615649675	0.996	0.987	0	0	RPL36
0	0.842940212749594	0.965	0.903	0	0	RPL36A
0	0.672580104227142	0.995	0.987	0	0	RPL37
0	0.502232248453295	0.995	0.986	0	0	RPL37A
0	0.772128429896105	0.99	0.973	0	0	RPL38
0	0.790671986091183	0.998	0.994	0	0	RPL39
0	0.732632067541859	0.963	0.92	0	0	RPL4
0	0.596433992084096	0.999	0.999	0	0	RPL41
0	0.764177628100509	0.973	0.936	0	0	RPL5
0	0.615744857214591	0.988	0.972	0	0	RPL6
0	0.807503011923161	0.992	0.98	0	0	RPL7
0	0.446864693218087	0.979	0.962	0	0	RPL7A
0	0.453555840822744	0.988	0.979	0	0	RPL8
0	0.860901641976811	0.992	0.981	0	0	RPL9
0	0.568576411455851	0.963	0.932	0	0	RPLP0
0	0.51891493920451	0.999	0.998	0	0	RPLP1
0	0.801436306510153	0.999	0.997	0	0	RPLP2
0	0.655193509531449	0.961	0.925	0	0	RPS10
0	0.968410496216575	0.998	0.994	0	0	RPS12
0	0.810205568678851	0.99	0.975	0	0	RPS13
0	0.782522459304432	0.998	0.994	0	0	RPS14
0	0.48970838666753	0.998	0.995	0	0	RPS15
0	0.706756732590812	0.999	0.995	0	0	RPS15A
0	0.65538343139763	0.997	0.988	0	0	RPS16
0	0.606556413557196	0.995	0.983	0	0	RPS17
0	0.862330310023697	0.999	0.996	0	0	RPS18
0	0.465210793472056	0.999	0.996	0	0	RPS19
0	0.552276597737687	0.999	0.996	0	0	RPS2
0	0.717196151800996	0.989	0.978	0	0	RPS20
0	0.717849205508005	0.989	0.964	0	0	RPS21
0	0.641501442310759	0.993	0.984	0	0	RPS23
0	0.822965916592588	0.997	0.988	0	0	RPS25
0	0.879240131093884	1	0.999	0	0	RPS27
0	0.867869036570995	0.999	0.994	0	0	RPS27A
0	0.733843749578058	0.998	0.995	0	0	RPS28
0	0.84293081914945	0.999	0.996	0	0	RPS29
0	0.828953532910412	0.997	0.99	0	0	RPS3
0	0.900320596597833	0.995	0.985	0	0	RPS3A
0	0.756448605990061	0.996	0.986	0	0	RPS4X
0	0.622690522401837	0.668	0.577	0	0	RPS4Y1
0	0.623399179456466	0.971	0.953	0	0	RPS5
0	0.968697817872379	0.998	0.992	0	0	RPS6
0	0.502060770459001	0.991	0.979	0	0	RPS7
0	0.805073452549193	0.994	0.984	0	0	RPS8
0	0.418230337665647	0.987	0.986	0	0	RPS9
0	0.567833683724066	0.973	0.948	0	0	RPSA
0	0.788582491316392	0.888	0.777	0	0	SARAF
0	0.595252248123385	0.492	0.326	0	0	SELL
0	0.50774454003552	0.324	0.219	0	0	SNHG25
0	0.611827946802335	0.53	0.404	0	0	SNHG8
0	0.838421825024612	0.369	0.131	0	0	TCF7
0	0.577294396716124	0.537	0.4	0	0	TMEM123
0	0.608277870888926	0.913	0.858	0	0	TOMM7
0	0.701391813657214	0.993	0.984	0	0	TPT1
0	0.671517078788321	0.678	0.552	0	0	TXNIP
0	0.34244321818711	0.984	0.977	0	0	UBA52
0	0.863149252347962	0.843	0.661	0	0	ZFP36L2
0	0.529723694121965	0.514	0.436	0	0	ZNF90
7.40750856525097e-315	0.603298852088956	0.437	0.318	1.5125391739386e-310	0	SOCS3
4.3230195300199e-306	0.419264684644318	0.832	0.71	8.82717357834763e-302	0	CXCR4
9.89176961036323e-302	0.322126803515983	0.822	0.798	2.01980043674007e-297	0	COMMD6
3.45777570173048e-294	0.590461985718414	0.814	0.744	7.06043220536347e-290	0	FOS
1.31050959102539e-290	0.252973028867162	0.976	0.968	2.67592953391475e-286	0	RPS11
