p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_type	gene
0	0.62902199723302	0.876	0.784	0	Naive T Cells	AC090498.1
0	0.514585691106753	0.529	0.416	0	Naive T Cells	AES
0	0.594089643941478	0.281	0.134	0	Naive T Cells	AQP3
0	0.442722045289322	0.975	0.939	0	Naive T Cells	BTG1
0	0.607830231459121	0.594	0.459	0	Naive T Cells	C6orf48
0	0.954360224617618	0.412	0.133	0	Naive T Cells	CCR7
0	0.303919130892291	0.769	0.555	0	Naive T Cells	CD3E
0	0.566174575212253	0.744	0.612	0	Naive T Cells	CD69
0	0.818428238220032	1	0.997	0	Naive T Cells	EEF1A1
0	0.792363183857669	0.874	0.77	0	Naive T Cells	EEF1B2
0	0.451648705419828	0.96	0.943	0	Naive T Cells	EEF1D
0	0.473230232537853	0.898	0.854	0	Naive T Cells	EEF2
0	0.651679682058664	0.804	0.705	0	Naive T Cells	EIF3E
0	0.428641999908381	0.467	0.385	0	Naive T Cells	EIF4B
0	0.316232210104745	0.992	0.988	0	Naive T Cells	FAU
0	0.618090174466392	0.28	0.111	0	Naive T Cells	FLT3LG
0	0.7121755537148	0.863	0.731	0	Naive T Cells	FXYD5
0	0.545613594980683	0.505	0.334	0	Naive T Cells	GIMAP4
0	0.832777372909564	0.589	0.322	0	Naive T Cells	GIMAP7
0	0.861493415191454	0.884	0.753	0	Naive T Cells	GLTSCR2
0	0.391576051218263	0.97	0.96	0	Naive T Cells	GNB2L1
0	1.53280246519992	0.687	0.251	0	Naive T Cells	IL7R
0	0.955200605455911	0.919	0.839	0	Naive T Cells	JUNB
0	0.906127416472571	0.432	0.207	0	Naive T Cells	KLF2
0	0.801517513205265	0.786	0.629	0	Naive T Cells	LDHB
0	0.778563574208185	0.259	0.055	0	Naive T Cells	LEF1
0	0.587408871086695	0.61	0.468	0	Naive T Cells	LEPROTL1
0	0.892777985202241	0.858	0.536	0	Naive T Cells	LTB
0	0.738096067856879	0.275	0.066	0	Naive T Cells	MAL
0	0.390554780787289	1	0.999	0	Naive T Cells	MALAT1
0	0.414525703980576	0.937	0.916	0	Naive T Cells	NACA
