"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TNFRSF13B",0,0.751515774248398,0.519,0.093,0,"0","TNFRSF13B"
"RP5-887A10.1",1.82648376143499e-223,0.817197459851172,0.398,0.077,3.02063884466119e-219,"0","RP5-887A10.1"
"CLECL1",2.82426874795847e-185,0.479597216477362,0.355,0.072,4.67077565537373e-181,"0","CLECL1"
"COTL1",7.19330696061744e-141,0.61013815610612,0.736,0.479,1.18962910514691e-136,"0","COTL1"
"SCIMP",2.11742873580459e-133,0.384019431274496,0.297,0.071,3.50180364327363e-129,"0","SCIMP"
"KLF6",2.54721402804638e-131,0.691380927848564,0.772,0.519,4.2125825595831e-127,"0","KLF6"
"AIM2",3.83303350536707e-117,0.343052692764436,0.29,0.077,6.33907081117606e-113,"0","AIM2"
"CTSH",1.31587752781401e-115,0.552856196907901,0.608,0.363,2.17619825549881e-111,"0","CTSH"
"CD82",5.77154583753909e-114,0.444717457761792,0.432,0.187,9.54498250612214e-110,"0","CD82"
"MS4A1",6.38964925138647e-114,0.54726133125,0.931,0.644,1.0567201931943e-109,"0","MS4A1"
"HLA-A",1.26298317091319e-102,0.29263841233522,0.997,0.978,2.08872156805623e-98,"0","HLA-A"
"CAPG",6.95810194021718e-102,0.45961608055869,0.456,0.226,1.15073089887312e-97,"0","CAPG"
"HLA-DPB1",7.15603900982806e-96,0.45987728090415,0.983,0.791,1.18346573144536e-91,"0","HLA-DPB1"
"HLA-DQB1",5.76292796287247e-92,0.442996485809445,0.971,0.75,9.53073026499849e-88,"0","HLA-DQB1"
"CRIP1",3.37602498166446e-90,0.291014720249842,0.464,0.228,5.58327011467669e-86,"0","CRIP1"
"CD24",3.38514824031972e-90,0.444470754527444,0.464,0.238,5.59835815984075e-86,"0","CD24"
"HLA-DPA1",2.38013315356146e-87,0.427349501067808,0.99,0.858,3.93626420935995e-83,"0","HLA-DPA1"
"MYL12A",5.70644541585445e-83,0.417885437313479,0.864,0.719,9.4373194287401e-79,"0","MYL12A"
"ITGB1",8.76064784688091e-83,0.419839242856266,0.36,0.163,1.44883594091716e-78,"0","ITGB1"
"AL928768.3",2.24562762395972e-82,0.78202096017844,0.345,0.149,3.71381896450458e-78,"0","AL928768.3"
"PPP1R15A",3.34590297633616e-82,0.457870719211376,0.687,0.481,5.53345434226474e-78,"0","PPP1R15A"
"BANK1",1.93727578104479e-78,0.37662584974656,0.667,0.442,3.20386668669188e-74,"0","BANK1"
"LTB",5.02163302935308e-78,0.479887957580742,0.875,0.66,8.30477670394413e-74,"0","LTB"
